"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*-a₃","acd-s_a1.htm#387","subjunctive suffix"
"*a₄","acd-s_a1.htm#381","hesitation particle"
"*a₅","acd-s_a1.htm#382","ligature"
"*aba₁","acd-s_a1.htm#10","father"
"*aCab","acd-s_a1.htm#25","a cover"
"*aCas","acd-s_a1.htm#26","high, tall"
"*aCay","acd-s_a1.htm#33","death"
"*adaS","acd-f_a1.htm#6632","bring, take along"
"*adi","acd-s_a1.htm#7326","no, not"
"*a-enem","acd-s_e1.htm#2376","six (of humans)"
"*a-esa","acd-s_e1.htm#2407","one (of humans)"
"*ai₂","acd-s_a1.htm#83","interjection, exclamation of surprise, incredulity, etc."
"*ai₃","acd-s_a1.htm#7828","come"
"*ajem","acd-f_a1.htm#6619","heart; mind"
"*aken₁","acd-s_a1.htm#7960","1sg oblique"
"*aki","acd-f_a1.htm#6552","grandfather, ancestor"
"*aku","acd-s_a1.htm#90","1sg nominative; I"
"*ala","acd-s_a1.htm#118","take, get, fetch, obtain; marry"
"*ala-en","acd-s_a1.htm#7768","be taken"
"*alap","acd-s_a1.htm#96","fetch, get, take"
"*alaq₁","acd-s_a1.htm#108","fetch, get, take"
"*alaq-en","acd-s_a1.htm#114","be taken"
"*alikas","acd-s_a1.htm#11787","quick, fast"
"*alim","acd-f_a1.htm#7144","forget"
"*a(lR)im","acd-s_a1.htm#12781","pancreas, spleen"
"*aluja","acd-s_a1.htm#126","to paddle"
"*alujah","acd-f_a1.htm#7226","ant sp."
"*amax","acd-s_a1.htm#134","father"
"*amen","acd-s_a1.htm#7962","1pl ex oblique"
"*ami","acd-s_a1.htm#9702","1pl. excl. nominative pronoun, we (exclusive)"
"*amin","acd-s_a1.htm#180","all; finished"
"*amu","acd-s_a1.htm#9708","2pl. nominative pronoun"
"*-an","acd-s_a1.htm#254","verbal suffix marking locative voice; nominal suffix marking location"
"*aNak","acd-s_a1.htm#183","child, offspring; son, daughter; interest on a loan"
"*aN-aNak","acd-s_a1.htm#186","child"
"*aNay","acd-s_a1.htm#234","insect of the order : termite, white ant"
"*aŋay","acd-s_a1.htm#9146","departure (?)"
"*apa₂","acd-f_a1.htm#6553","carry on the back"
"*apu","acd-s_a1.htm#273","grandparent/grandchild (reciprocal)"
"*apuR","acd-s_a1.htm#272","betel chew"
"*aRi","acd-s_a1.htm#297","come; toward the speaker; let’s go!"
"*asa₁","acd-s_a1.htm#305","one"
"*asaŋ₃","acd-f_a1.htm#7961","village"
"*asu₁","acd-s_a1.htm#320","dog"
"*aSik","acd-s_a1.htm#12771","to sweep, remove trash"
"*ata","acd-s_a1.htm#333","1pl. incl. possessive pronoun: our"
"*atuR","acd-s_a1.htm#12104","stone wall"
"*au₂","acd-s_a1.htm#351","yes"
"*aya₁","acd-s_a1.htm#369","exclamation of annoyance, surprise, etc."
"*aya₂","acd-s_a1.htm#370","(gloss uncertain)"
"*baba₁","acd-s_b.htm#433","carry a person pick-a-back; ride pick-a-back"
"*ba-bahi","acd-s_b.htm#6939","woman, female"
"*babaw₃","acd-s_b.htm#428","upper surface, top; highlands; on, upon, over, above"
"*babuy₃","acd-s_b.htm#441","pig"
"*babuy-an","acd-s_b.htm#442","pigpen, pigsty, piggery"
"*baCaR","acd-f_b.htm#8795","broomcorn millet:"
"*bahi","acd-s_b.htm#6934","female"
"*bajaq₁","acd-s_b.htm#6439","know, understand; ask, inquire"
"*bajiw","acd-f_b.htm#7145","edible mushroom sp."
"*bakaŋ₁","acd-s_b.htm#9050","bowlegged"
"*bakaR","acd-s_b.htm#12662","kind of basket"
"*bakbak₂","acd-s_b.htm#477","sound of heavy clapping or pounding, smacking sound"
"*bakes₁","acd-s_b.htm#480","belt; tie around the waist"
"*baki₂","acd-f_b.htm#6554","grandfather"
"*bakuŋ₁","acd-s_b.htm#484","a lily-like plant:  L."
"*balalaCuk","acd-s_b.htm#496","a bird: the woodpecker"
"*balaŋa","acd-s_b.htm#519","shallow earthenware cooking pot or pan"
"*balbal₁","acd-s_b.htm#528","beating stick; to hit, beat (esp. clothes in washing them)"
"*baleŋ₂","acd-s_b.htm#12648","preserve meat in salt or brine"
"*bales₁","acd-s_b.htm#531","to answer, retaliate; reciprocate good or evil"
"*bali₃","acd-f_b.htm#6555","wind"
"*baliw","acd-f_b.htm#6557","buy, sell"
"*baliw₂","acd-s_b.htm#559","return"
"*baluN","acd-s_b.htm#578","bind, bundle"
"*banaw","acd-s_b.htm#9239","lake"
"*baNaR","acd-s_b.htm#611","a thorny vine:  spp."
"*baNaS","acd-s_b.htm#614","male (of animals)"
"*baNaw","acd-s_b.htm#619","a thorny vine:  spp."
"*baNiC","acd-s_b.htm#627","to skin, flay"
"*bañaw","acd-s_b.htm#754","wash the body"
"*baŋaS","acd-f_b.htm#7114","a tree:"
"*baŋaw","acd-s_b.htm#760","paddy bug, foul-smelling insect that preys on rice in the field"
"*baŋbaŋ₂","acd-s_b.htm#766","butterfly, moth"
"*baŋbaŋ₆","acd-s_b.htm#773","loud resounding sound"
"*baŋeliS","acd-s_b.htm#776","tusk; canine tooth"
"*baŋ(e)qeR₁","acd-s_b.htm#801","rotten smell, stench"
"*baŋeS","acd-f_b.htm#7227","skin"
"*baŋeSiS","acd-s_b.htm#804","fragrant"
"*baŋun₁","acd-f_b.htm#7304","the Japanese cypress:"
"*baŋuN","acd-s_b.htm#787","wake up, get out of bed"
"*baqeRuh","acd-s_b.htm#645","new; bachelor"
"*baqeSiŋ","acd-f_b.htm#7146","sneeze"
"*baqi","acd-s_b.htm#6438","grandmother"
"*barat₁","acd-s_b.htm#668","crossbeam"
"*baRah","acd-s_b.htm#652","ember, glowing coal"
"*baRaŋ","acd-f_b.htm#9176","rib (?)"
"*baRaq₁","acd-s_b.htm#662","lung"
"*baRat₁","acd-s_b.htm#666","crossbeam"
"*baRat₂","acd-f_b.htm#6620","cucumber:"
"*b<aR>eŋbeŋ","acd-s_b.htm#1065","buzzing, droning, humming"
"*baReq","acd-s_b.htm#696","abscess, boil, swelling on the body"
"*baRija","acd-s_b.htm#698","weaver's sword (lath used to beat in and tighten the woof)"
"*baRiuS","acd-s_b.htm#702","typhoon"
"*baRuj","acd-s_b.htm#709","a dove: probably  spp."
"*basbas₁","acd-s_b.htm#720","hit, strike"
"*basbas₂","acd-s_b.htm#721","sprinkle"
"*baseq","acd-s_b.htm#6444","wash clothes"
"*basuq","acd-s_b.htm#6455","to wash"
"*baSaq","acd-s_b.htm#461","a flood; to overflow, be in flood"
"*baSaw","acd-s_b.htm#7066","cold, of leftover food; leftovers from a meal"
"*baSay","acd-s_b.htm#7070","a hairy vine:"
"*batu₃","acd-s_b.htm#6501","to throw"
"*batux","acd-s_b.htm#6485","stone; testicle"
"*bayu","acd-s_b.htm#6785","to pound rice"
"*beCeŋ","acd-s_b.htm#811","millet sp., probably foxtail millet:"
"*beCik","acd-s_b.htm#813","tattoo"
"*beCu","acd-s_b.htm#820","callus, blister"
