"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*-a₂","acd-s_a1.htm#384","3sg. object"
"*-a₃","acd-s_a1.htm#387","subjunctive suffix"
"*a₁","acd-s_a1.htm#378","article"
"*a₂","acd-s_a1.htm#379","conjunction: and"
"*a₃","acd-s_a1.htm#380","exclamation, interjection"
"*a₄","acd-s_a1.htm#381","hesitation particle"
"*a₅","acd-s_a1.htm#382","ligature"
"*aba₁","acd-s_a1.htm#10","father"
"*ambak","acd-s_a1.htm#153","stamp or smack against"
"*abaŋ₁","acd-s_a1.htm#11","ambush, block the way; obstacle, hindrance"
"*abaw","acd-s_a1.htm#7","high, lofty"
"*ambit","acd-s_a1.htm#158","seize with the hands"
"*abuqaŋ","acd-s_a1.htm#20","beetle"
"*abus","acd-s_a1.htm#22","ash"
"*abut₁","acd-s_a1.htm#23","pull up, root up"
"*adamay","acd-s_a1.htm#71","a plant:"
"*adani","acd-s_a1.htm#8183","near"
"*a-di","acd-s_d.htm#2260","that, there"
"*adi","acd-s_a1.htm#7326","no, not"
"*anduŋ","acd-s_a1.htm#243","ancestors"
"*aduq","acd-s_a1.htm#73","exclamation of pain, distress, etc."
"*a-enem","acd-s_e1.htm#2376","six (of humans)"
"*a-epat","acd-s_s2.htm#5180","four (of humans)"
"*a-esa","acd-s_e1.htm#2407","one (of humans)"
"*agu","acd-s_a1.htm#80","and, also"
"*ai₂","acd-s_a1.htm#83","interjection, exclamation of surprise, incredulity, etc."
"*ai₃","acd-s_a1.htm#7828","come"
"*ajan","acd-s_a1.htm#84","name"
"*akak","acd-s_a1.htm#87","cackling laughter"
"*akaR","acd-s_a1.htm#88","root"
"*aken₁","acd-s_a1.htm#7960","1sg oblique"
"*akerahaq","acd-s_a1.htm#89","cry of a monkey"
"*aki","acd-f_a1.htm#6552","grandfather, ancestor"
"*a(ŋ)kit","acd-s_a1.htm#417","bite"
"*aku","acd-s_a1.htm#90","1sg nominative; I"
"*aŋkub","acd-s_a1.htm#407","cover"
"*aŋkup₁","acd-s_a1.htm#409","scoop up with both hands; a double handful"
"*ala","acd-s_a1.htm#118","take, get, fetch, obtain; marry"
"*ala-en","acd-s_a1.htm#7768","be taken"
"*alali","acd-s_a1.htm#10359","halibut, sole, flounder"
"*alap","acd-s_a1.htm#96","fetch, get, take"
"*alaq₁","acd-s_a1.htm#108","fetch, get, take"
"*alaq-en","acd-s_a1.htm#114","be taken"
"*alem","acd-s_a1.htm#11511","dark, night"
"*alikas","acd-s_a1.htm#11787","quick, fast"
"*aliq","acd-s_a1.htm#123","move, change place"
"*aluja","acd-s_a1.htm#126","to paddle"
"*aluluŋ","acd-s_a1.htm#11483","to howl, of dogs"
"*aluŋ","acd-s_a1.htm#129","shade, shadow"
"*aluten","acd-s_a1.htm#7793","burning brand; charred or smoldering wood"
"*ama-i","acd-s_a1.htm#150","father (voc.)"
"*ama-q","acd-s_a1.htm#149","father (voc.)"
"*amax","acd-s_a1.htm#134","father"
"*amá-ŋ","acd-s_a1.htm#148","father (voc.)"
"*amen","acd-s_a1.htm#7962","1pl ex oblique"
"*ami","acd-s_a1.htm#9702","1pl. excl. nominative pronoun, we (exclusive)"
"*amin","acd-s_a1.htm#180","all; finished"
"*amu","acd-s_a1.htm#9708","2pl. nominative pronoun"
"*-an","acd-s_a1.htm#254","verbal suffix marking locative voice; nominal suffix marking location"
"*anaduq","acd-s_a1.htm#182","long (of objects)"
"*anak","acd-s_a1.htm#184","child, offspring; son, daughter; brother's child (man speaking), sister's child (woman speaking); young animal or plant; young; small (for its kind); dependent or component part of something larger; native, resident, inhabitant; interest on a loan"
"*anak a ma-iRaq","acd-s_a1.htm#218","neonate (lit. 'red child')"
"*anak a qulu","acd-s_a1.htm#219","first-born, eldest child (lit. 'head child')"
"*anak apij","acd-s_a1.htm#213","twin"
